Area,Oxygen,Temperature,Humidity,Fire Occurrence
1101,77,92,84,1
6143,16,6,20,1
5219,35,84,97,1
9697,93,60,47,0
1570,73,58,71,1
9093,58,96,40,1
9006,76,80,75,1
6649,71,13,3,0
2119,61,30,33,0
7212,25,19,84,1
7226,53,52,90,1
8181,20,72,95,1
2770,94,58,66,0
9925,27,25,93,1
6568,28,19,79,1
8656,56,25,69,0
9354,100,88,23,1
4859,67,23,27,0
6033,59,78,41,0
2394,21,37,97,1
6860,100,84,32,1
3861,23,9,47,0
7237,22,85,38,1
912,7,12,33,1
7394,47,97,63,1
3829,83,41,47,0
6209,30,89,78,1
9402,4,97,9,1
8363,3,3,17,1
6291,26,90,41,1
2834,1,70,96,1
5535,79,41,47,0
7790,79,84,82,1
5952,99,22,82,1
4254,37,28,42,0
8516,83,79,60,0
6367,80,87,60,1
6251,78,17,92,1
3620,1,64,24,1
5082,32,33,14,0
1494,96,77,77,1
3578,65,11,51,0
7901,77,53,8,0
2096,70,10,6,0
4609,70,33,100,1
4655,95,89,96,1
1119,82,77,76,1
8598,55,31,97,1
665,13,19,1,1
5359,83,70,47,0
1459,10,94,36,1
789,4,25,73,1
14,72,59,70,0
5445,50,16,88,1
5372,83,28,52,0
7275,87,81,65,1
7542,90,34,69,0
5029,48,98,45,1
5888,80,14,33,0
2579,66,28,96,1
226,52,52,29,0
7927,43,12,70,0
3756,15,95,26,1
1748,99,67,48,0
1491,65,96,77,1
2874,98,38,60,0
5258,36,41,55,0
2227,100,32,97,1
2355,67,4,56,0
1054,11,54,56,1
8815,82,41,72,1
7366,77,84,99,1
4520,45,35,58,0
8678,13,67,84,1
8626,12,21,96,1
5802,11,76,74,1
4817,57,76,4,0
5861,88,67,30,0
2723,44,48,91,1
6980,3,77,3,1
2780,21,72,91,1
4940,84,94,54,1
1790,48,19,25,0
802,95,15,34,0
6176,48,62,7,0
2276,77,80,45,0
3748,15,30,54,1
8368,26,35,31,0
4786,41,49,88,1
9146,50,55,71,1
2665,17,41,99,1
7792,59,23,17,0
5373,8,52,60,1
9555,27,62,67,0
1384,81,12,12,0
9206,18,54,48,1
222,59,38,56,0
7185,49,43,88,1
9637,29,71,18,0
4315,44,28,96,1
5487,34,25,26,0
50,74,46,97,1
6828,60,32,79,1
390,37,20,19,0
4450,81,65,41,0
2571,49,78,45,0
7791,21,47,66,0
6632,3,66,41,1
3514,30,36,40,0
6516,97,47,67,0
1924,47,16,76,1
5342,17,89,40,1
8748,65,5,69,0
4711,95,89,48,1
5342,67,73,1,0
1743,41,40,91,1
2813,32,27,48,0
3063,22,37,40,0
1310,9,13,28,1
7850,72,100,21,1
3638,76,21,24,0
789,29,3,70,0
752,76,22,38,0
872,62,94,85,1
577,4,4,41,1
6986,8,76,21,1
8217,45,93,18,1
210,14,72,6,1
7680,22,25,9,0
4607,85,76,94,1
6071,14,35,55,1
2260,4,79,96,1
6826,95,71,100,1
242,2,97,66,1
5693,12,47,45,1
6593,9,82,66,1
6425,96,35,80,1
5605,38,15,36,0
1741,20,68,56,0
3287,19,53,84,1
860,73,47,33,0
2633,66,74,2,0
1949,99,36,91,1
28,68,97,14,1
3830,56,6,88,1
6170,80,82,6,1
5834,74,48,20,0
6346,37,93,8,1
5850,54,26,85,1
5964,92,28,28,0
4735,53,62,74,1
3791,48,100,67,1
3959,72,11,22,0
9458,57,44,20,0
2888,47,3,71,1
5102,87,50,35,0
6786,95,96,6,1
6847,38,1,28,0
2326,65,19,95,1
8457,56,10,5,0
787,56,31,73,1
3386,100,13,53,0
3447,31,92,76,1
5275,32,34,80,1
4875,71,89,83,1
1633,76,15,74,1
7166,57,69,56,0
7291,95,53,43,0
1173,96,13,26,0
8496,91,67,12,0
6917,67,18,31,0
4072,25,28,28,0
6036,50,19,16,0
4277,53,24,1,0
8781,69,84,39,1
9256,18,33,69,1
5487,59,38,7,0
464,92,46,100,1
1187,88,6,36,0
1938,64,58,4,0
8876,23,20,46,0
2891,96,70,47,0
747,97,31,76,1
9678,17,15,91,1
9597,91,65,67,0
9520,38,54,31,0
1409,70,76,65,0
9438,69,1,95,1
1058,9,82,60,1
9944,50,60,8,0
787,48,99,46,1
8384,8,14,43,1
7059,76,58,40,0
6618,97,75,71,1
5497,15,61,31,1
6340,47,59,56,0
7374,39,64,37,0
1186,46,56,92,1
4701,63,28,35,0
5620,66,25,93,1
7146,65,28,45,0
2626,35,58,77,1
234,80,41,70,0
304,16,12,84,1
6982,47,14,86,1
9082,86,70,68,0
273,24,39,27,0
9266,55,28,94,1
1202,17,75,16,1
659,16,40,19,1
2651,20,54,15,0
89,55,99,7,1
9282,3,38,53,1
2346,37,49,20,0
890,62,10,82,1
9997,83,28,77,1
8484,64,82,97,1
6412,97,48,11,0
5831,95,77,39,0
4172,31,37,96,1
6861,26,5,4,0
5515,47,26,82,1
792,43,21,67,0
9666,89,4,21,0
9698,26,58,71,1
911,10,22,30,1
2058,11,100,33,1
1106,82,91,95,1
5125,79,82,9,1
4469,16,100,1,1
656,91,54,1,0
4254,21,55,28,0
2862,32,11,61,0
3310,93,56,49,0
3627,100,98,9,1
5925,56,82,9,1
6990,88,95,94,1
4820,18,79,44,1
5112,89,51,91,1
5025,9,23,37,1
7293,56,8,82,1
5839,92,16,99,1
3144,82,2,72,1
3646,53,80,93,1
8122,45,51,65,0
8131,66,15,28,0
3933,100,10,50,0
8214,94,54,88,1
2529,5,2,10,1
7211,71,66,61,0
9366,51,6,71,1
3249,58,97,41,1
2970,48,56,37,0
1863,62,23,79,1
6314,60,25,70,0
6703,10,26,82,1
6826,3,60,48,1
5753,87,28,45,0
5788,65,94,39,1
131,37,94,49,1
9780,68,38,64,0
8830,70,13,7,0
8564,27,51,9,0
7302,31,39,38,0
540,51,9,63,0
709,46,22,35,0
1615,10,64,57,1
2266,80,65,99,1
6492,88,1,95,1
7127,92,26,76,1
8267,94,89,30,1
1006,31,13,68,0
7662,46,78,4,0
8191,73,84,97,1
8900,85,6,40,0
1334,91,52,76,1
7375,91,20,11,0
1699,22,10,93,1
4846,63,58,73,1
4151,78,88,64,1
6754,54,77,100,1
1118,43,13,16,0
2948,24,46,38,0
5702,54,57,26,0
4732,87,37,72,1
6073,18,55,87,1
6818,29,48,4,0
2465,34,81,5,1
2981,38,52,54,0
7627,52,49,7,0
9626,71,69,1,0
5534,72,28,53,0
5320,73,10,45,0
6248,78,44,94,1
6492,60,79,7,0
7870,28,81,47,1
7547,62,2,28,0
8258,75,36,21,0
5580,68,74,71,1
9135,9,66,100,1
5709,90,84,26,1
5815,33,29,6,0
1553,2,96,88,1
8332,29,30,16,0
5197,48,25,13,0
2323,100,10,13,0
2404,93,58,81,1
290,77,99,88,1
1500,96,79,86,1
9508,36,91,76,1
4803,33,9,76,1
8373,56,81,21,1
9846,60,95,59,1
3642,98,87,19,1
3865,80,57,21,0
6907,80,22,59,0
1851,83,66,69,0
4132,25,48,33,0
915,97,22,29,0
3964,58,98,59,1
8875,10,38,40,1
6557,59,18,71,1
929,87,69,42,0
9091,50,1,58,0
2466,67,16,20,0
5231,87,4,14,0
5209,83,73,4,0
3747,39,48,13,0
9539,58,82,30,1
5363,69,80,50,0
5279,80,97,78,1
3295,55,37,5,0
2576,96,69,94,1
423,97,94,29,1
736,19,80,53,1
4818,13,65,47,1
4738,40,71,82,1
143,72,26,40,0
1802,97,59,30,0
4786,80,70,23,0
6858,40,41,59,0
2733,99,36,31,0
6841,10,31,55,1
1403,75,36,76,1
2377,42,92,9,1
3512,3,62,60,1
1563,10,22,32,1
1395,70,23,5,0
1627,47,84,96,1
2184,87,39,62,0
7516,63,68,28,0
766,37,56,69,0
5106,7,48,50,1
4375,9,27,59,1
5891,63,3,27,0
5309,66,42,77,1
6198,43,7,94,1
479,92,98,71,1
7211,68,41,44,0
7440,56,3,36,0
4685,14,97,26,1
4020,24,26,57,0
7511,87,33,1,0
8650,8,24,52,1
2194,37,30,57,0
5666,11,21,80,1
8690,75,9,46,0
4427,92,67,80,1
8696,30,78,82,1
4506,75,78,31,0
1809,51,69,44,0
9342,98,1,66,0
2158,41,87,43,1
4568,92,99,18,1
983,36,42,70,0
1439,89,53,56,0
3779,97,62,22,0
6080,35,44,13,0
1679,80,39,26,0
5360,88,77,49,0
4269,98,34,50,0
8811,32,2,29,0
9140,99,53,40,0
8117,81,77,26,0
6697,65,62,2,0
5650,76,85,73,1
9283,10,54,89,1
4542,84,25,87,1
995,92,35,40,0
6811,89,87,52,1
2568,4,95,65,1
1573,7,68,88,1
8028,100,47,44,0
4873,83,82,46,1
5275,93,4,12,0
7165,81,26,84,1
4972,98,5,1,0
4180,82,24,83,1
9050,98,68,47,0
4595,21,61,49,0
9761,24,11,3,0
4296,55,37,86,1
819,58,41,78,1
1798,2,29,13,1
5817,96,70,58,0
3899,1,89,26,1
5515,1,49,17,1
2109,88,49,12,0
9683,55,95,41,1
3423,33,97,45,1
188,18,11,69,1
4225,74,86,17,1
4617,41,35,35,0
4570,76,11,11,0
6753,88,68,36,0
8538,10,9,49,1
7013,98,16,40,0
8892,72,5,76,1
4230,69,88,13,1
7741,86,47,73,1
9366,13,3,92,1
3416,91,4,16,0
7770,24,25,13,0
2129,25,21,36,0
8711,17,34,67,1
6023,62,2,72,1
5754,84,14,79,1
8594,65,68,49,0
4546,41,32,81,1
5066,99,68,49,0
962,86,32,39,0
6397,36,93,78,1
9892,35,2,28,0
334,29,97,28,1
1434,86,4,54,0
1449,96,94,62,1
1092,75,59,98,1
7189,87,86,40,1
1741,57,23,44,0
730,82,99,75,1
4518,45,26,87,1
5862,93,14,95,1
9475,38,48,87,1
4257,65,80,55,0
3093,48,61,74,1
6714,56,75,57,0
153,17,16,100,1
8486,13,89,1,1
3475,88,31,64,0
6597,86,21,59,0
7736,45,84,6,1
7845,86,86,89,1
2032,5,21,12,1
8903,76,91,25,1
8534,50,57,11,0
8971,73,24,65,0
972,51,99,44,1
8938,89,49,20,0
2749,31,51,62,0
8610,7,61,13,1
1437,67,91,32,1
161,54,92,66,1
5253,5,99,53,1
8059,45,83,53,1
9177,18,55,66,1
7983,48,37,85,1
6675,44,2,23,0
8681,18,22,82,1
8074,37,20,24,0
8696,84,80,94,1
7907,13,26,12,1
4819,30,54,16,0
6794,67,81,27,1
9697,26,39,19,0
2831,95,50,13,0
1547,85,65,19,0
328,56,33,20,0
6844,70,23,14,0
8562,43,68,24,0
9338,85,50,40,0
5183,96,16,41,0
1817,45,72,2,0
6682,12,6,35,1
3620,49,19,7,0
7096,75,2,90,1
3314,52,70,48,0
7791,48,72,49,0
2571,38,42,96,1
4673,59,30,77,1
4018,92,43,64,0
6677,65,33,81,1
7972,26,65,68,0
8906,16,81,100,1
7384,85,51,4,0
362,90,27,98,1
1659,19,100,6,1
9494,70,71,28,0
5539,31,93,3,1
760,44,81,67,1
8967,92,98,91,1
5538,43,34,100,1
1477,36,74,16,0
9569,58,6,85,1
3884,42,13,91,1
8252,43,48,3,0
5093,59,5,89,1
7221,82,48,4,0
8706,45,14,44,0
9281,98,42,43,0
587,47,77,21,0
5224,50,64,31,0
1840,69,5,55,0
8103,97,77,55,0
2287,19,71,62,1
1147,57,75,9,0
7742,66,16,47,0
7297,88,74,16,0
6066,90,95,77,1
4377,5,54,13,1
1694,15,64,95,1
3482,60,92,94,1
6718,72,79,96,1
816,83,40,51,0
8944,31,76,26,0
7865,6,71,81,1
1479,27,25,76,1
7375,15,36,59,1
4987,9,87,27,1
8138,16,79,41,1
2755,83,83,46,1
2196,67,75,94,1
7056,97,30,94,1
2995,71,82,21,1
948,21,79,80,1
6967,52,54,3,0
1734,46,100,95,1
5439,32,42,59,0
6004,8,12,47,1
7892,81,28,45,0
8026,95,77,10,0
6840,66,21,40,0
9300,7,63,65,1
1287,31,75,80,1
4502,67,47,75,1
3915,3,58,73,1
7643,16,67,63,1
8451,24,84,18,1
7350,79,93,25,1
4863,46,52,4,0
7760,63,92,43,1
5689,16,79,33,1
709,99,98,81,1
3475,5,24,91,1
7080,22,57,92,1
5498,71,85,2,1
4804,5,38,81,1
3305,29,27,49,0
6963,31,84,75,1
2691,21,53,42,0
5549,20,46,20,0
5619,4,9,14,1
8413,83,76,79,1
6907,38,83,18,1
4513,18,71,75,1
3338,77,55,87,1
2130,1,100,84,1
1255,56,53,5,0
8036,15,81,36,1
4233,24,49,78,1
7381,45,57,77,1
4079,4,53,23,1
6657,64,75,88,1
2916,28,97,52,1
9404,90,83,37,1
3500,36,74,50,0
4382,92,1,14,0
3588,56,82,59,1
1116,92,55,57,0
5765,26,26,91,1
8687,35,30,51,0
175,11,69,40,1
4054,58,71,84,1
6753,78,7,24,0
4118,92,9,42,0
1671,6,39,24,1
5033,12,38,80,1
234,69,68,58,0
4705,45,66,88,1
9060,77,67,58,0
6169,20,10,51,0
3946,50,51,36,0
1003,78,51,78,1
1373,39,20,13,0
3214,37,49,38,0
2237,11,61,35,1
4458,41,12,59,0
2522,6,100,14,1
1887,88,37,66,0
1838,57,13,3,0
3210,95,82,80,1
7689,44,56,22,0
7967,44,65,7,0
6958,94,52,8,0
7636,52,43,64,0
8148,88,12,12,0
8411,94,99,74,1
6347,87,93,51,1
7152,28,73,4,0
5680,87,46,39,0
4141,3,88,22,1
9810,98,73,37,0
5339,54,61,58,0
2282,81,20,93,1
8010,59,9,49,0
9712,75,93,70,1
7226,92,39,26,0
7274,27,52,91,1
1363,77,14,66,0
8377,35,50,80,1
9608,88,91,61,1
2248,33,100,49,1
5450,89,38,73,1
9680,16,45,58,1
1931,67,62,73,1
7859,76,67,76,1
4751,79,50,96,1
7215,11,12,46,1
4586,34,41,92,1
1285,65,1,93,1
5286,20,84,57,1
4212,82,52,18,0
2486,35,45,43,0
3592,3,71,52,1
5994,77,34,26,0
6572,96,16,36,0
8442,95,67,4,0
138,23,89,58,1
6942,7,99,57,1
237,99,73,12,0
8452,55,71,75,1
5498,65,72,44,0
3576,11,33,98,1
4332,87,87,43,1
6074,58,70,18,0
9248,50,55,14,0
2247,69,86,22,1
1889,45,94,31,1
3427,8,34,59,1
7329,47,37,46,0
1407,13,72,5,1
9800,23,71,18,0
5032,10,8,70,1
7903,20,46,68,0
2199,6,24,69,1
1226,90,3,10,0
5904,65,73,27,0
6940,22,21,47,0
7816,23,89,4,1
3616,80,94,67,1
4120,33,94,95,1
1746,53,81,20,1
3118,61,41,83,1
8667,32,51,96,1
8045,10,72,31,1
2644,71,94,41,1
5278,72,89,80,1
502,34,78,3,0
4703,35,82,69,1
4270,10,47,77,1
3006,84,87,50,1
9622,87,3,43,0
1475,89,27,61,0
3297,36,27,12,0
240,58,26,13,0
572,64,54,89,1
1638,38,17,28,0
7385,78,91,17,1
8023,54,13,8,0
5256,2,12,35,1
4410,44,43,42,0
5519,48,64,38,0
5622,94,7,1,0
4413,72,44,12,0
6500,11,53,26,1
8443,51,63,54,0
6358,17,67,55,1
7435,85,24,46,0
6941,66,25,73,1
9479,7,64,82,1
8661,17,76,52,1
6895,38,20,74,1
6515,54,10,17,0
3763,100,30,39,0
4107,83,73,17,0
3707,73,22,99,1
4063,31,4,82,1
1822,54,20,40,0
6047,69,51,78,1
1767,44,36,29,0
1174,27,16,24,0
2747,36,36,4,0
7807,23,47,99,1
1835,75,4,8,0
1837,18,97,81,1
1672,33,17,28,0
9612,69,82,46,1
8919,62,43,5,0
2321,58,39,30,0
2685,76,29,83,1
8,24,29,42,0
6851,4,39,29,1
9036,65,38,76,1
3080,49,1,86,1
3325,23,38,54,0
9728,27,84,45,1
1468,24,6,98,1
9643,95,3,4,0
3900,52,52,17,0
925,47,59,34,0
9942,63,26,33,0
9577,95,93,95,1
2058,81,41,46,0
6097,99,87,91,1
4972,75,54,91,1
9768,40,38,4,0
9302,55,78,61,0
1149,35,1,45,0
7956,49,82,29,1
4109,57,4,17,0
1348,30,67,31,0
1719,93,45,31,0
5930,26,84,12,1
3812,90,68,72,1
3845,25,53,16,0
5597,79,70,92,1
7431,48,45,83,1
5531,41,43,23,0
6413,26,82,33,1
2566,55,91,16,1
8862,48,36,5,0
8796,34,95,49,1
4614,23,78,7,0
9464,44,67,69,0
2488,36,38,82,1
4526,93,77,66,0
7567,31,49,18,0
5456,6,67,77,1
4985,37,30,9,0
9888,51,85,16,1
7518,5,51,22,1
1315,45,35,79,1
5444,89,53,33,0
797,86,18,97,1
6911,79,8,2,0
6626,5,35,21,1
7520,27,20,43,0
7661,60,18,36,0
8563,89,94,55,1
4068,66,38,92,1
4200,98,45,35,0
947,85,80,34,0
7157,3,40,64,1
6524,87,79,27,0
1131,77,81,54,1
3058,87,98,1,1
7702,86,21,20,0
3055,29,88,76,1
7064,51,47,31,0
2857,94,54,74,1
9241,11,80,54,1
1782,14,82,23,1
1819,17,54,41,1
3828,52,29,11,0
2358,85,56,11,0
2365,66,60,32,0
307,64,96,75,1
4722,74,85,12,1
1653,86,92,77,1
29,4,30,72,1
3614,10,18,20,1
4608,43,6,25,0
6845,89,88,21,1
1038,55,26,48,0
7906,2,99,75,1
1079,69,3,7,0
7376,10,72,64,1
4366,1,82,50,1
8936,79,8,85,1
7761,73,11,48,0
3825,100,77,38,0
6945,8,65,71,1
6551,96,30,100,1
5002,53,35,32,0
4507,63,79,17,0
2485,28,32,28,0
6941,98,1,39,0
1616,10,48,48,1
6333,72,86,45,1
823,12,1,78,1
3536,44,90,77,1
5686,22,27,100,1
3623,61,87,20,1
3742,100,28,47,0
927,83,5,19,0
4834,60,83,47,1
2107,3,90,79,1
3149,86,70,7,0
1953,73,54,28,0
9480,31,52,21,0
7819,100,74,28,0
2496,68,67,6,0
7979,42,80,40,0
4091,52,61,42,0
7660,89,25,13,0
2625,37,37,89,1
789,47,27,6,0
2041,68,22,20,0
2005,93,41,66,0
5256,7,85,48,1
7497,43,13,48,0
9219,59,71,66,0
6401,93,64,61,0
6758,62,70,64,0
4197,23,6,25,0
1315,23,56,87,1
9560,15,41,20,1
6600,8,30,66,1
9695,81,91,91,1
6382,60,27,20,0
2023,94,66,43,0
1397,85,61,6,0
4337,15,68,50,1
1006,18,53,45,1
1790,24,83,55,1
5886,4,76,85,1
8389,46,51,62,0
4592,27,10,95,1
278,14,80,98,1
1999,62,31,95,1
1934,81,30,87,1
5187,6,7,11,1
5552,63,61,2,0
2606,35,52,26,0
4573,27,43,99,1
3381,3,49,30,1
952,54,80,13,0
9278,39,84,59,1
8485,10,42,64,1
3343,15,19,15,1
473,78,14,62,0
6860,93,59,58,0
1091,81,53,82,1
7469,53,67,57,0
349,14,63,59,1
807,91,100,46,1
8516,39,96,11,1
8493,83,35,33,0
7243,84,83,50,1
69,71,49,67,0
5957,57,50,63,0
6586,83,12,48,0
8746,5,55,17,1
7065,48,100,87,1
3214,83,19,7,0
1443,11,26,2,1
4949,97,73,80,1
4364,51,52,57,0
4856,17,35,20,1
407,11,61,19,1
526,78,8,42,0
3510,85,37,27,0
2543,93,76,62,0
827,71,8,74,1
2718,86,50,11,0
4715,9,21,53,1
4580,30,47,20,0
8968,42,6,45,0
8672,21,20,38,0
9709,24,69,83,1
3813,77,41,21,0
1497,63,14,55,0
9121,51,74,6,0
7480,7,30,24,1
3573,37,23,25,0
9810,62,81,19,1
4002,66,35,31,0
9582,78,66,28,0
2085,43,83,34,1
3351,56,17,5,0
4331,66,91,23,1
4582,3,86,38,1
3895,35,72,59,0
9705,4,71,82,1
6796,48,98,43,1
1098,42,93,99,1
3950,22,64,55,0
9457,35,66,92,1
6689,28,15,75,1
6420,95,29,81,1
6949,29,38,52,0
6232,82,81,47,1
2367,45,29,90,1
3485,70,62,85,1
155,33,15,8,0
8966,18,41,92,1
4283,88,62,96,1
8219,33,11,2,0
3670,8,47,41,1
4447,85,56,99,1
3036,27,22,29,0
4664,59,40,65,0
1670,14,45,92,1
8331,94,36,7,0
6476,80,40,3,0
5219,77,5,62,0
5963,17,48,4,1
1975,44,2,30,0
5759,70,49,9,0
9158,54,56,100,1
7857,43,53,73,1
987,99,99,14,1
6198,2,100,50,1
3836,77,16,89,1
3789,30,38,53,0
3586,83,31,68,0
8310,38,94,21,1
5638,50,77,26,0
4934,84,63,33,0
7227,65,3,36,0
4843,64,6,99,1
1290,20,68,90,1
6483,54,56,14,0
5340,100,100,75,1
4878,67,16,47,0
3086,31,19,96,1
190,72,84,83,1
4230,98,43,32,0
4334,8,35,8,1
7271,24,43,21,0
4257,45,49,84,1
9903,54,38,26,0
4859,50,4,24,0
7473,8,75,72,1
6044,22,80,38,0
1486,56,75,31,0
4124,68,32,5,0
9938,18,3,97,1
4331,78,55,93,1
8839,73,89,71,1
4975,88,61,5,0
9582,67,79,3,0
2480,87,100,70,1
7576,56,79,35,0
6469,5,57,46,1
6459,47,51,27,0
4221,27,34,61,0
260,43,84,3,1
3812,52,95,43,1
609,87,83,15,1
1482,77,100,35,1
8875,54,100,86,1
8474,18,7,54,1
2310,87,31,71,1
2564,55,13,40,0
3322,87,90,89,1
6901,100,75,18,0
3714,19,33,48,1
9787,86,35,81,1
1377,34,82,4,1
1412,27,88,10,1
3782,93,40,12,0
7946,92,41,38,0
1637,30,26,49,0
9898,28,50,91,1
4362,80,28,70,0
7437,98,92,86,1
3815,86,35,26,0
5983,99,63,50,0
5941,59,10,77,1
4820,84,79,22,0
7740,44,42,28,0
6941,19,5,87,1
1610,66,46,25,0
9628,9,8,76,1
1039,4,23,16,1
6612,79,18,93,1
6888,41,40,69,0
1824,60,86,83,1
251,4,41,27,1
2884,89,55,20,0
5880,77,69,55,0
2103,50,42,75,1
4363,30,57,63,0
1725,58,65,49,0
3830,22,86,77,1
939,70,23,16,0
9863,29,41,72,1
3146,92,65,75,1
3501,73,48,38,0
6015,70,40,83,1
9477,61,97,40,1
4961,73,39,50,0
7053,43,22,94,1
4405,14,50,36,1
5553,52,89,11,1
8919,71,67,80,1
4145,98,52,12,0
8067,16,51,6,1
4821,50,23,93,1
8156,36,24,20,0
4437,50,96,85,1
4464,57,45,64,0
5531,90,10,46,0
4852,32,22,2,0
7818,76,34,6,0
1733,36,99,63,1
987,87,4,26,0
4174,76,27,18,0
9907,95,22,3,0
3501,17,31,1,1
4936,85,52,12,0
8012,80,89,15,1
9296,85,4,75,1
9725,14,47,14,1
1720,90,39,29,0
2735,32,80,52,0
6149,79,51,49,0
9828,86,27,84,1
3455,43,38,28,0
9511,49,7,36,0
1028,18,93,31,1
6370,96,45,55,0
8847,15,6,64,1
5203,96,4,98,1
767,34,71,12,0
994,45,68,33,0
1972,76,45,95,1
4626,11,18,8,1
9594,68,51,89,1
8092,23,94,24,1
3946,12,20,98,1
5023,78,59,28,0
4985,59,84,23,1
5667,38,36,61,0
8518,23,32,43,0
7162,91,91,36,1
4579,20,81,75,1
2539,86,78,89,1
6936,34,74,73,1
5170,17,34,81,1
8462,49,77,92,1
2647,25,23,29,0
8474,33,94,91,1
4228,9,10,87,1
2832,13,16,13,1
4854,87,29,64,0
937,48,47,90,1
9418,25,90,67,1
2558,72,64,4,0
5508,17,43,80,1
9116,65,85,99,1
9709,43,4,54,0
4781,71,9,59,0
1845,36,95,55,1
1329,9,77,17,1
9336,76,11,59,0
9152,59,98,38,1
1644,72,37,67,0
6114,63,44,47,0
4755,97,28,62,0
5343,14,97,31,1
1205,39,49,99,1
4671,52,3,89,1
7506,85,67,5,0
815,47,25,87,1
9374,20,12,90,1
7326,59,80,9,0
5909,49,97,16,1
697,96,96,81,1
7937,24,56,70,0
114,16,69,44,1
3614,81,23,79,1
1972,76,17,18,0
7011,31,7,86,1
6196,79,79,22,0
6330,59,89,65,1
7624,33,26,70,0
4911,37,71,43,0
9245,35,27,82,1
5967,85,1,85,1
2784,59,12,55,0
1445,8,66,97,1
947,93,98,2,1
6567,7,50,40,1
9178,66,77,30,0
2237,81,60,45,0
6097,87,85,35,1
1609,43,21,57,0
1515,2,48,53,1
4681,56,54,31,0
4898,96,59,39,0
8474,16,21,10,1
6577,20,5,57,0
3833,78,62,83,1
7427,33,42,3,0
4237,77,74,99,1
7239,88,34,86,1
957,66,34,37,0
979,5,33,89,1
2348,90,94,75,1
2729,27,22,64,0
6571,57,79,64,0
9590,72,90,25,1
8742,81,55,1,0
4201,100,85,94,1
4252,24,1,36,0
1890,65,89,62,1
2027,76,25,51,0
7484,37,44,100,1
8140,97,91,46,1
3454,69,22,62,0
6450,68,70,19,0
3012,47,27,47,0
4456,98,30,55,0
2404,80,17,42,0
9683,61,9,96,1
5912,91,34,55,0
6925,54,63,85,1
6878,57,72,75,1
4318,92,39,76,1
9289,54,57,73,1
2830,98,96,58,1
2164,49,96,31,1
7784,75,37,40,0
8625,86,14,35,0
3401,69,32,5,0
2363,59,94,90,1
1507,9,90,23,1
7014,91,73,76,1
5135,97,95,41,1
6116,68,51,66,0
371,44,36,42,0
1126,63,40,24,0
6419,40,28,78,1
6366,47,18,31,0
9395,27,33,71,1
9119,85,55,24,0
2306,96,56,88,1
6040,97,76,64,0
2896,11,100,9,1
1545,38,26,25,0
2923,32,30,78,1
7195,98,67,89,1
4028,35,97,51,1
7199,40,55,84,1
2033,78,82,99,1
4916,58,91,19,1
2371,54,52,62,0
164,27,60,44,0
5818,23,72,82,1
3661,81,38,83,1
6375,42,84,94,1
7529,38,51,76,1
8228,39,40,1,0
6541,21,83,60,1
280,42,16,45,0
5877,15,17,66,1
8163,74,100,60,1
7228,4,74,3,1
7705,4,84,80,1
5566,32,49,6,0
688,3,57,20,1
5591,47,5,25,0
6399,33,57,90,1
7401,38,60,77,1
4002,75,47,39,0
8005,66,45,35,0
3986,95,76,88,1
3468,94,30,27,0
6424,59,57,36,0
7566,56,62,39,0
2808,75,32,15,0
885,91,50,73,1
7531,72,66,14,0
4388,38,70,64,0
5567,54,36,5,0
